标志,ID,人物,位置,内容,跳转
#,0,智叟,右,谢汝年少，助吾寻回《九章算术》，汝诚吾辈之光也。,1
#,1,你,左,长者谬赞，晚辈不过略尽绵薄之力，幸得成功，实乃众志成城之功。长者之言，晚辈愧不敢当。,2
#,2,你,左,观长者忧色于面，或有难解之事，愿闻其详。倘吾能助之，必不辞劳苦，共解其忧。,3
#,3,智叟,右,确有一事相求，水运仪象台不慎遗失，此物至关重要，吾甚忧之。汝若能助吾寻回，定当感激不尽。,4
#,4,你,左,敢问长者，水运仪象台之形貌如何？吾欲寻之，必先明其状。,5
#,5,智叟,右,此物一座上狭下广、呈正方台形的木结构建筑。其中浑仪等为铜制。全台共分三隔。,6
#,6,智叟,右,下隔包括报时装置和全台的动力机构等。中隔是间密室，放置浑象。上隔是个板屋，中放浑仪，集天文观测、天文演示和报时系统为一。,7
#,7,智叟,右,年轻人，汝可再助吾寻回此物乎？,8
$,8,,,长者所托，晚辈岂敢不从。然此物珍贵且独特，寻之定需费尽周折。晚辈愿尽力而为，但求不负长者所望。,10
$,9,,,长者勿忧，此物于我如探囊取物。吾必迅速寻回水运仪象台，以展吾之才华与实力！,11
#,10,智叟,右,善哉，汝之谦逊令人敬佩。望汝尽心尽力，吾静待佳音。,12
#,11,智叟,右,汝之信心可嘉，但愿汝能如言而行，不负吾之所望。,12
END,12,,,,
